clone-ID	genetic-group	nAChR-81	LC50	LC50-PBO	CY3_CN	CY4_CN	CY3_EXP	CY4_EXP
17-0153-0020	SecHost	RR	34.43	25.54	0.737726277	0.661109323	0.264617017	0.59256248
18-0014-0001 	SecHost	RR	68.5	54.78	1	1	1	1
13-0284-0034	SecHost	RR	79.18	25.38	1.325699382	0.555266975	0.854685001	1.236655399
18-0015-0001 	PeaHost	RR	117.16	46.72	2.139765482	1.687068649	1.531145896	1.773898764
17-0153-0001	SecHost	RR	136.63	86.83	1.057385981	1.091749022	2.176622952	2.225262109
18-0017-0001 	SecHost	RR	148.2	45.52	2.82960343	2.097688143	4.420017256	5.290166568
11-0037-0018	PeaHost	RR	177.67	60.11	3.749521478	2.102512154	4.07386141	7.96132625
13-0001-0050	PeaHost	RR	227.02	78.47	3.143913608	2.176214088	13.85536169	18.36779666
17-0149-0006	SecHost	RR	229.93	45.94	2.570529983	2.743251357	4.397938657	3.578245712
18-0201-0001	SecHost	RR	309.85	66.22	6.508868207	5.122807558	17.12278312	14.84575748
11-0037-0001	PeaHost	RR	434.7	103.67	5.172196948	2.547349852	15.61499897	20.21957756
18-0016-0001 	SecHost	RR	468.41	86.27	4.138932821	1.789643315	8.648886163	13.95437823
12-0067-0023	PeaHost	RT	360.2	104.37	3.389948376	1.83614231	5.263970322	6.406658325
11-0037-0012	PeaHost	RT	401.29	158.78	5.178448519	3.228901233	19.37706022	31.09538336
12-0068-0006	PeaHost	RT	550.59	111.63	4.490292686	2.63212356	8.312758083	16.29332308
13-0001-0032	PeaHost	RT	626.98	111.88	2.399900974	0.990679289	7.013930766	5.843737875
11-0060-0006	PeaHost	RT	636.1	181.31	3.430451721	1.873763394	10.49041304	6.52054247
13-0001-0048	PeaHost	RT	1087.8	206.18	3.643024643	2.732737538	7.283133578	8.432450959
12-0069-0001	PeaHost	RT	1174.61	226.32	5.354148272	4.379288593	11.74089496	13.01937012
17-0145-0005	PeaHost	TT	5347.16	931.53	3.524123643	2.577908001	3.20605522	3.537685538
11-0039-0003	PeaHost	TT	12262.95	2565.35	6.584370506	4.987402724	6.746995722	5.487513082
13-0001-0045	PeaHost	TT	14781.53	2857.52	4.186211151	2.525133354	7.370845067	11.49559771
13-0001-0041	PeaHost	TT	16520.98	2806.31	2.917599598	2.073452157	7.896445254	11.30448606
